用户名称,评论时间,评论内容
脉脉不得语171226,11月26日 21:49,想安稳你:小时候买过一本书《中华传统美德》东汉三国时期有一个名士娶了一个丑女结婚洞房花烛夜下了一跳想跑，奇女子拽住衣服，名士恼羞成怒（记不清了特意百度了一下）呵斥阮氏道
梦Ssr,11月26日 21:33,2022，你们还在吗？
脉脉不得语171226,11月26日 21:18,我也是小学，然后她恋爱，然后我结婚。然后她分手了，我结婚后我们很难做朋友了。从没正面的说过一次爱她，我知道她都知道，她知道我也知道我们是朋友。不在一个频道没办法的，相爱需要缘分
正东方向有只羊,11月26日 00:23,好难过好难过好难过！她不要我了，我删她了，她会不会伤心呀？
我还在等晚安呢,11月26日 00:18,要是人都能活到100岁就好了，我怕，我还没长大她就老了
MG布布,11月26日 00:11,我爷爷子孙多，也就比较忽视我家，我和我姐。爷爷生病了，只有我父亲愿意出钱给爷爷看病。出院爷爷来到我家养病，假期工结束姐姐最先给爷爷买了他爱喝酸奶，爷爷喝的很开心，嘴里还不停的说“我的兔兔横（棒）”，我也怕爷爷一直在家待着不舒服，推着爷爷环游街道。躺在床上的爷爷，看着忙忙碌碌我们
王册王册子,11月26日 00:03,祝福。
王册王册子,11月26日 00:03,珍惜。
王册王册子,11月26日 00:02,笑死了。
王册王册子,11月26日 00:02,有。
小阿花Yo,11月25日 23:59,三年前，分手的那天，他给我塞的耳机里播放着这首歌。。。我又回来了，是的，我们和好了决定2022.2.22举行婚礼，希望在座的各位都能得到爱情
yzdrlbu,11月25日 23:49,6666
军装下的绕指柔-,11月25日 23:21,实习的时候，很欣赏一个男孩子，我承认刚开始是我见色起意，就对他多关注了点，后来我发现他真的是一个很优秀的人，回来之后，经常梦到他。听到这首歌，挺有感触的，明年这个时候，会有新的实习生到这个单位去，时间比我长，不知道那个时候你还记不记得我。
9ine8,11月25日 23:18,牟晓薇
星星也要光呐,11月25日 23:13,最终她也在毕业季和我说了分手，这辈子就当我娶过她了吧
星星也要光呐,11月25日 23:12,我和她是高一下学期认识的，依稀还记得她当时穿了一身黑色的运动服，很好看，后来她坐在了我后面的后面，再后来我和她成为了前后桌，她经常踢我的板凳，我经常转回去说她，后来2018年高考，奇迹般的高考成绩一样，我和她表白了，她同意了，我开心的一直傻笑，后来我和她去了同一所大学，后来，
额呃-_,11月25日 23:02,初中的时候和舍友定这首歌为舍友之歌，那时候离中考还有一段时间，以为时间还很长，而现在已经高三了，又快到了毕业季，想到初中那时的事，又开心又怀念，希望高中的时光也可以慢一点，因为真的舍不得[多多大哭][多多难过]
_循环,11月25日 22:51,确实过得很快啊，再快一点吧，日日重复的生活已经过腻了
想好了就叫仙女吧,11月25日 22:43,前任找你复合该同意吗
我是汤阳阳,11月25日 22:42,听这歌的时候就想起了高中生活的点点滴滴，哎，真是想念那帮人呐！
elfin肆陆,11月25日 22:32,时间过的好快啊
清风不识字何故乱翻书_2027,11月25日 22:21,时间是让人猝不及防的东西，我的青春，随着这首歌结束了。。。
仙女不下凡2333,11月25日 22:12,就是你多看别人一眼我都酸到不行，不喜欢自己因为太在意而生出的小气，我可以毫不掩饰自己的喜欢，但不能随意表现出妒忌
潘九幺,11月25日 01:08,真的能祝彼此幸福吗？
不要抱着我,11月25日 01:00,好好休息 要有行动，只有行动才能打破僵局！
钟大头罒,11月25日 00:58,我这段时间遇到了一个比我大两岁的男生 他很好很温柔 他性格跟我很像 他会考虑我的感觉 他会为我付出为我打抱不平 也是第一个对我来说付出很多的人 他在我的世界里就像一个默默陪伴着我的大哥哥 他很喜欢我 我默默的感觉到了安全感这是别人不曾给我的感觉 我谈了那么多次 这是唯一一个真心对我好的人
钟大头罒,11月25日 00:54,可能青春永驻青春心吧 在这个学生时代里那些懵懵懂懂的感情都是青春 哪个人的青春没有过心动的人 谁都会有冲动的想法 只不过有些人没去做罢了 在我的青春里出现了一个让我觉得很好的男孩子 他给我第一个感觉就是他很简单他很好 在这段时间里我们不断地聊天 聊了几个月 这段时间突然就没什么联系了
幸福荷包蛋,11月25日 00:36,这不是骗婚gay吗
北馨,11月25日 00:14,2021年11月了还有人在听这首歌吗
Blacksugar__,11月25日 00:14,大学毕业那年，几个人围在一起吃这最后一顿饭，话在嘴边说不出来，一个劲的喝酒，回想着这三年来得点点滴滴
用户335971562,11月25日 00:08,时间过的太快了，希望以后的日子不会再有那么多的遗憾！
Rosiee_-,11月24日 23:58,泪了
涛mou,11月24日 23:55,这也是满满的回忆啊
雯雯雯-雯wen,11月24日 23:52,泪奔了
小猪_9AaG,11月24日 23:49,初三很累，被不完的单词和记不住的公式，好烦！！！！！
小L是意中人,11月24日 23:45,没准是两男的
孤千人,11月24日 23:42,EDG，夺冠了
小尤_nSE6,11月24日 23:38,成都大学等我
黎明的曙光WQ,11月24日 23:28,有
晫暄pa,11月24日 23:18,把日子写成风情，把目光画成希望，把美好的事物镶进流年，等自己慢慢长大......
#NAME?,11月24日 23:12,@Rosiee_-
旧街_5hOJ,11月24日 23:10,又到了网抑云的时间?
我应该戴上眼镜,11月24日 22:58,我的心空空的，我知道我和他太多不合适了，可是最近脑子里总是回忆起之前在一起的点滴。我爱他，很爱他，可是我无力改变现状，改变这些不合适的地方，我在清醒与回忆中迷乱，也在提醒自己不可能的事不必在想。他对我做的事，让我知道了他的冷漠和无情，可是我们已经分手了，再也没有关系了。
我的星星呢zy,11月24日 17:07,一定会的
Geek琪琪,11月24日 17:01,在听
一肚子气的包子,11月24日 16:54,蓝莓味包子 现在一切刚刚好 ?
Sik-Z-Murphy,11月24日 16:49,2021.11.24
云村村民162676910043862,11月24日 16:47,有
Fishbone_x,11月24日 16:27,我我我
南方孙红雷,11月24日 16:26,11
